user_id,full_name,age,city,state,shipping_address
USR0037,Victor Karpe,43,Panihati,Kerala,"H.No. 42, Prakash Ganj, Tiruppur 204022"
USR0038,Dalbir Dara,23,Gandhinagar,Nagaland,"385, Gala Circle, Bhimavaram 254521"
USR0039,Alka Dubey,20,Serampore,Andhra Pradesh,"30, Prasad Chowk, Srikakulam-418935"
USR0040,Aarush Jha,31,Jorhat,Himachal Pradesh,"26, Anand Path, Ballia-132222"
USR0041,Kashvi Merchant,56,Dhule,Gujarat,"45/78, Banerjee Chowk, Sasaram 499057"
USR0042,Devansh Koshy,52,Karnal,Tripura,"42, Kunda Path, Naihati 508651"
USR0043,Harshil Agarwal,63,Tiruppur,Nagaland,"27/11, Krishnan Zila, Muzaffarnagar-269383"
USR0044,Champak Kuruvilla,28,Panvel,Goa,"03/70, Bali Ganj, Alappuzha 297084"
USR0045,Yachana Savant,25,Muzaffarpur,Tamil Nadu,"H.No. 569, Lal, Alappuzha-661119"
USR0046,Naksh Doshi,52,Bhusawal,Madhya Pradesh,"278, Karan Nagar, Chennai 509549"
USR0047,Radhika Uppal,22,Naihati,Himachal Pradesh,"14, Nigam Street, Durg 699133"
USR0048,Abhimanyu Naik,23,Bally,Manipur,"38, Warrior, Mumbai-364166"
USR0049,Mahika Tandon,20,Vijayanagaram,Andhra Pradesh,"H.No. 83, Madan Chowk, Belgaum 115097"
USR0050,Ranbir Dani,39,Agra,Maharashtra,"32/603, Raval Chowk, Nagpur-596033"
USR0051,Vamakshi Walia,46,Katni,Manipur,"74/773, Sidhu Road, Khandwa 510991"
USR0052,Luke Sawhney,45,Chapra,Odisha,"H.No. 096, Bains Circle, Proddatur-020586"
USR0053,Guneet Bhatti,49,Vasai-Virar,Kerala,"H.No. 55, Biswas Chowk, Adoni-241541"
USR0054,Watika Bhattacharyya,54,Dehradun,Uttarakhand,"H.No. 048, Sundaram Marg, Jhansi 154750"
USR0055,Urvashi Sachar,30,Narasaraopet,Arunachal Pradesh,"047, Wali, Chittoor-158683"
USR0056,Urmi Munshi,21,Jodhpur,Haryana,"59/403, Kulkarni Road, Bihar Sharif-337576"
USR0057,Ishwar Kanda,55,Serampore,Bihar,"H.No. 13, Ramachandran Marg, Ahmedabad 172892"
USR0058,Samuel Gill,55,Bellary,Bihar,"34, Tailor Marg, Proddatur-184325"
USR0059,Faraj Mander,45,Bathinda,Goa,"H.No. 531, Bhatia Chowk, Muzaffarnagar 305125"
USR0060,Warhi Pradhan,60,Rampur,Manipur,"H.No. 672, Kala Road, Ballia 792755"
USR0061,Radhika Wason,57,New Delhi,Assam,"247, Devi Street, Pali-110015"
USR0062,Gaurav Sem,29,Firozabad,Manipur,"383, Sharaf Road, Dehri 692703"
USR0063,Xavier Sachdev,64,Bidhannagar,Gujarat,"26, Mani Marg, Bulandshahr-427812"
USR0064,Ekavir Khalsa,55,Hyderabad,Karnataka,"H.No. 557, Khalsa Ganj, Bharatpur 461536"
USR0065,Girish Shere,19,Kishanganj,Tripura,"108, Solanki Chowk, Tirunelveli-145729"
USR0066,Diya Saha,52,Sonipat,Tamil Nadu,"78, Gupta Ganj, Allahabad-424628"
USR0067,Aahana Natarajan,20,Hubli–Dharwad,Arunachal Pradesh,"64/21, Aggarwal Zila, Unnao 492793"
USR0068,Chandran Chawla,38,Sasaram,Kerala,"20/28, Oommen Marg, Alwar 000522"
USR0069,Eta Nadkarni,42,,Mizoram,"H.No. 509, Soni Zila, Saharsa-293159"
USR0070,Anusha Dhillon,35,,Gujarat,"H.No. 869, Merchant, Panvel-878840"
USR0071,Hemani Sinha,56,Ongole,Rajasthan,"H.No. 59, Kar Road, Chandigarh-136600"
USR0072,Omkaar Bhattacharyya,63,Pimpri-Chinchwad,Himachal Pradesh,"H.No. 52, Dhingra, Unnao-112509"
USR0073,Lopa Atwal,22,Jalandhar,Sikkim,"H.No. 540, Brar Ganj, Dehradun-829277"
USR0074,Jairaj D’Alia,23,Rohtak,Chhattisgarh,"897, Bala Chowk, Danapur-584468"
USR0075,Atharv Wali,44,Bulandshahr,Andhra Pradesh,"H.No. 43, Parmar Ganj, Hazaribagh 149566"
USR0076,Anmol Mukhopadhyay,62,Dharmavaram,Rajasthan,"54, Nagarajan Chowk, Nagaon 890270"
USR0077,Laksh Shetty,22,Ambattur,Uttarakhand,"H.No. 614, Sarin Zila, Srinagar-937672"
USR0078,Lucky Dhingra,53,Moradabad,Meghalaya,"58, Parmar, Khora -879687"
USR0079,Charles Sethi,20,Firozabad,Telangana,"65/518, Kamdar Nagar, Bally-951470"
USR0080,Samar Sridhar,43,Pallavaram,West Bengal,"349, Divan Ganj, Berhampur-673841"
USR0081,Damini Ghose,32,Hazaribagh,Meghalaya,"H.No. 52, Dara Chowk, Imphal-339202"
USR0082,Sanaya Natarajan,36,Serampore,Kerala,"H.No. 90, Sha Chowk, Tumkur 782156"
USR0083,Madhav Shankar,54,,Gujarat,"H.No. 78, Gandhi Path, Shivpuri-214119"
USR0084,Harrison Barad,43,Shimla,Jharkhand,"H.No. 178, Kala Street, Eluru 310640"
USR0085,Mitali Doshi,55,Ghaziabad,Gujarat,"70, Kamdar Ganj, Tirunelveli 393422"
USR0086,Anjali Balakrishnan,30,,Haryana,"16/84, Shenoy Path, Silchar-492270"
USR0087,Varenya Mahajan,34,Kurnool,Kerala,"H.No. 56, Dara, Gorakhpur 824437"
USR0088,Unni Mann,53,Panchkula,Manipur,"175, Sha Marg, Aizawl-501280"
USR0089,Brinda Anne,43,Gudivada,Sikkim,"229, Behl Marg, Bharatpur 684196"
USR0090,Luke Kashyap,58,Ujjain,Uttarakhand,"90/60, Raj Ganj, Meerut 202286"
USR0091,Riya Aurora,48,Cuttack,Himachal Pradesh,"73, Rout Nagar, Uluberia-857023"
USR0092,Bhavini Bhatnagar,29,,Himachal Pradesh,"H.No. 216, Kapadia Nagar, Panvel 388535"
USR0093,Turvi Shere,18,Siliguri,Bihar,"00, Puri Street, Chandigarh 913381"
USR0094,Aarnav Bansal,34,Raebareli,Haryana,"45/66, Menon Path, Bhiwani-628125"
USR0095,Jagvi Golla,45,Madhyamgram,Gujarat,"H.No. 17, Sen Street, Bhilai 598708"
USR0096,Hemangini Shenoy,50,Kavali,Rajasthan,"38, Minhas Zila, Ujjain 493612"
USR0097,Yash Ratti,41,,Karnataka,"34/258, Bajaj Path, Guntur 259889"
USR0098,Triya Tata,29,Muzaffarnagar,Sikkim,"89/049, Nadig Path, Farrukhabad 507713"
USR0099,Yashodhara Chahal,20,Ahmednagar,Uttar Pradesh,"H.No. 522, Ben Zila, Anantapur-726263"
USR0100,Yahvi Konda,47,Fatehpur,Mizoram,"H.No. 24, Prakash, Ozhukarai 649734"
USR0101,Bahadurjit Khare,63,Chinsurah,Maharashtra,"H.No. 630, Nayak Zila, Pimpri-Chinchwad 913575"
USR0102,Zaid Sinha,32,Kalyan-Dombivli,Manipur,"24, Nair, Kochi 080210"
USR0103,Umang Rao,64,Mango,Gujarat,"455, Baral Street, Nadiad-513653"
USR0104,Gaurav Shetty,59,Bhagalpur,Assam,"H.No. 862, Aurora Chowk, Bilaspur 164595"
USR0105,Bhanumati Sibal,34,Jaunpur,Assam,"H.No. 296, Munshi, Noida 035400"
USR0106,Ryan Ahluwalia,36,Medininagar,Arunachal Pradesh,"H.No. 16, Atwal Path, Pondicherry-227974"
USR0107,Guneet Halder,27,Jamnagar,Manipur,"45/696, Mander Chowk, Sambhal-143781"
USR0108,Abha Parmer,29,Ludhiana,Maharashtra,"56/58, Loke Nagar, Chandrapur-767851"
USR0109,Shivani Dasgupta,28,Tezpur,West Bengal,"H.No. 192, Parikh Path, Howrah-074079"
USR0110,Aarav Guha,34,Vasai-Virar,Uttarakhand,"92/94, Mannan Zila, Bangalore 287364"
USR0111,Chandani Prasad,52,Muzaffarpur,Assam,"357, Vohra Street, Katihar 979436"
USR0112,Om Dayal,36,Bhiwandi,Tamil Nadu,"84/40, Sangha Nagar, Jamalpur-849779"
USR0113,Jatin Borra,22,Durgapur,Sikkim,"H.No. 41, Wali Circle, Kanpur 207998"
USR0114,Ansh Sane,44,Chinsurah,Goa,"86, Gala Circle, Jamalpur-811070"
USR0115,Ishita Parsa,36,Bhubaneswar,Chhattisgarh,"655, Nori Chowk, Loni 224808"
USR0116,Adweta Nazareth,26,Meerut,West Bengal,"34/883, Bhardwaj Zila, Sultan Pur Majra 910988"
USR0117,Kamala D’Alia,23,Sasaram,Jharkhand,"06, Sarraf, Khammam 310111"
USR0118,Geetika Kunda,29,,Punjab,"19/45, Luthra Nagar, Jaipur 644971"
USR0119,Yochana Ghose,19,Delhi,Arunachal Pradesh,"78/892, Jaggi Marg, Dindigul-065187"
USR0120,Oni Kala,61,Narasaraopet,Tamil Nadu,"03, Halder Marg, Danapur 520994"
USR0121,Joshua Mohanty,19,Bathinda,Uttar Pradesh,"073, Dhaliwal Ganj, Malda 805856"
USR0122,Yash Dasgupta,55,Sirsa,Goa,"17/864, Bahri Chowk, Ramgarh-497836"
USR0123,Kamya Cheema,32,Saharsa,West Bengal,"H.No. 747, Natt Ganj, Jaunpur-341180"
USR0124,Ayushman Padmanabhan,36,Mysore,Rajasthan,"H.No. 422, Borra Nagar, Rajpur Sonarpur-222998"
USR0125,Omisha Hora,26,Hazaribagh,Jharkhand,"827, Magar Path, Khammam-651641"
USR0126,Pahal Morar,51,,Manipur,"590, Loke Circle, Unnao 110926"
USR0127,Champak Chahal,53,Bhopal,Punjab,"H.No. 93, Devi Zila, Dibrugarh 316570"
USR0128,Warda Sarkar,56,Tenali,Rajasthan,"H.No. 448, Lalla Street, Gwalior 654740"
USR0129,Darsh Rao,60,Ramgarh,Mizoram,"H.No. 54, Singh Chowk, Kurnool-303256"
USR0130,Ijaya Parmer,28,Tirupati,Andhra Pradesh,"83, Narain Zila, Thrissur 823131"
USR0131,Gabriel Handa,58,Latur,Rajasthan,"88/61, Pal Ganj, Kavali 356977"
USR0132,Lila Sengupta,48,Arrah,Chhattisgarh,"H.No. 39, Bhasin Chowk, Bathinda 411294"
USR0133,Amruta Choudhary,21,Imphal,Haryana,"H.No. 557, Dalal Street, Jamshedpur 781747"
USR0134,Jhalak Vala,63,Anantapur,West Bengal,"H.No. 48, Varma Path, Karnal-996400"
USR0135,Jairaj Pall,42,Muzaffarpur,Manipur,"H.No. 337, Murty Street, Thiruvananthapuram-984309"
USR0136,Gabriel Pradhan,34,Jamshedpur,Tamil Nadu,"80, Thaman, Tiruppur 461556"
USR0137,Suhani Malhotra,28,Mira-Bhayandar,Andhra Pradesh,"82/931, Sunder Ganj, Kurnool 082541"
USR0138,Hiral Rout,24,Vellore,Bihar,"778, Randhawa Road, Gandhidham-425842"
USR0139,Sai Salvi,33,,Tamil Nadu,"19, Nair Ganj, Jalandhar-422414"
USR0140,Anamika Narayan,64,Panihati,West Bengal,"68/128, Thaker Road, Alappuzha-784335"
USR0141,Sarthak Nagar,44,Jabalpur,Punjab,"H.No. 72, Bora Chowk, Raiganj-865785"
USR0142,Ojas Mittal,60,Ambala,Sikkim,"44/72, Varty Ganj, Pali-832985"
USR0143,Ekanta Baria,59,Vasai-Virar,Maharashtra,"H.No. 73, Sami Road, Srikakulam-247204"
USR0144,Ekalinga Ramakrishnan,47,,Tripura,"83/891, Doctor Marg, Bareilly 172997"
USR0145,Yuvraj Sami,58,Shimoga,Andhra Pradesh,"62/05, Sarin Path, Alwar 830147"
USR0146,Yutika Prabhu,65,Serampore,Goa,"50/17, Manda Zila, Udaipur-781208"
USR0147,Nathan Nath,35,Tinsukia,Rajasthan,"132, Madan Street, Baranagar 998306"
USR0148,Nikita Kunda,25,Agra,Manipur,"68/992, Wali, Gurgaon-029183"
USR0149,Lopa Ghosh,41,Raurkela Industrial Township,Odisha,"H.No. 88, Khalsa Marg, Ahmednagar 197870"
USR0150,Nihal Shanker,37,Madurai,Telangana,"95/68, Ramakrishnan Marg, Dhanbad 782391"
USR0151,Atharv Goel,53,,Haryana,"32, Narang Nagar, Faridabad-769983"
USR0152,Chakradhar Ahluwalia,21,Srinagar,Manipur,"36, Dara, Chennai 970974"
USR0153,Unnati Sachdev,36,Rajkot,Andhra Pradesh,"79/70, Sridhar Ganj, Karaikudi 911630"
USR0154,Manya Kapoor,35,Ahmednagar,Andhra Pradesh,"H.No. 874, Sabharwal, Latur 303856"
USR0155,Isaiah Bassi,47,Bhatpara,Tamil Nadu,"07/791, Rajan Chowk, Rewa-871027"
USR0156,Wridesh Raghavan,37,Rajkot,Himachal Pradesh,"33/281, Ravel Zila, Kozhikode-573237"
USR0157,Champak Narayanan,39,Saharanpur,Meghalaya,"90, Hegde Nagar, Madanapalle-455164"
USR0158,Yug Dhaliwal,60,Kamarhati,Punjab,"H.No. 47, Tiwari Nagar, Berhampur-276694"
USR0159,Vinaya Grewal,44,Anantapur,Himachal Pradesh,"51, Manda Chowk, Sri Ganganagar 985675"
USR0160,Liam Shenoy,35,Phagwara,Telangana,"91, Bera, Saharsa 926940"
USR0161,Yashodhara Gala,36,Berhampur,Punjab,"86/47, Viswanathan Ganj, Karaikudi-157514"
USR0162,Urvashi Dhaliwal,53,Raiganj,Tamil Nadu,"62, Sharaf Path, Ballia 453343"
USR0163,Aayush Pillai,65,Amravati,Chhattisgarh,"41/160, Sridhar Ganj, Rajahmundry-294940"
USR0164,Aachal Yogi,59,Howrah,Arunachal Pradesh,"749, Bassi Road, Ahmednagar-902688"
USR0165,Pratyush Verma,18,Malegaon,Assam,"488, Goda Zila, South Dumdum 366494"
USR0166,Aahana Bumb,48,Suryapet,Karnataka,"03/71, Hans Marg, Karimnagar 559938"
USR0167,Wazir Buch,39,Vellore,Nagaland,"H.No. 75, Baral Ganj, Mirzapur-317246"
USR0168,Zayyan Pingle,42,Ghaziabad,Karnataka,"09/007, Naidu Ganj, Bardhaman-789157"
USR0169,Isaac Sampath,49,Katihar,Tripura,"H.No. 39, Anne Ganj, Ghaziabad-702279"
USR0170,Faris Sant,30,Bhubaneswar,Odisha,"H.No. 167, Sekhon Zila, Kottayam 496037"
USR0171,Yashvi Rajagopal,32,Patiala,Gujarat,"24, Bhatti Zila, Kirari Suleman Nagar-380554"
USR0172,Orinder Radhakrishnan,18,Amritsar,Odisha,"75, Barman Ganj, Dharmavaram 202643"
USR0173,Atharv Kapur,55,Shimla,Nagaland,"07/977, Hari Zila, Surat-240876"
USR0174,Baghyawati Kota,35,Nagercoil,Telangana,"11, Oza Circle, Udupi-149561"
USR0175,Gabriel Oak,43,Amravati,Rajasthan,"02, Dhaliwal Circle, Amroha-419214"
USR0176,Jack Bhargava,58,Shahjahanpur,Andhra Pradesh,"00, Lata Street, Gandhidham 928540"
USR0177,Ayaan Saini,53,Dharmavaram,Goa,"H.No. 62, Bhatia Zila, Bokaro 037297"
USR0178,Zaid Gala,22,Serampore,Odisha,"480, Nagar Road, Tezpur 743656"
USR0179,Faras Mutti,46,,Rajasthan,"01/761, Lall, Bhusawal-823064"
USR0180,Pranit Ramanathan,25,Phusro,Nagaland,"170, Cherian, Bikaner 603389"
USR0181,Girindra Agrawal,61,Morbi,Sikkim,"11, Varty Chowk, Davanagere-744388"
USR0182,Advika Agrawal,42,Jabalpur,Telangana,"41, Bahl Street, Thrissur 916998"
USR0183,Ryan Jayaraman,52,Purnia,Maharashtra,"H.No. 817, Parikh Nagar, Rohtak-453073"
USR0184,Azaan Patla,54,South Dumdum,West Bengal,"H.No. 80, Chowdhury Zila, Shahjahanpur-770228"
USR0185,Gavin Setty,59,,Goa,"H.No. 80, Mane Circle, Jalgaon-307664"
USR0186,Ethan Kamdar,47,,Tamil Nadu,"83/652, Roy Chowk, Hyderabad 429239"
USR0187,Nidra Setty,48,Sambhal,Punjab,"55/954, Bhargava Path, Moradabad-569037"
USR0188,Omkaar Tara,44,Nagpur,Mizoram,"49/23, Keer Ganj, South Dumdum 111733"
USR0189,Bina Kapadia,21,Hubli–Dharwad,Tripura,"H.No. 080, Balasubramanian Marg, Raebareli-542587"
USR0190,Sarthak Nair,29,Davanagere,Jharkhand,"966, Bhagat Chowk, Nagercoil-878042"
USR0191,Ati Sane,38,Visakhapatnam,Mizoram,"61/993, Shetty Circle, Ajmer-135155"
USR0192,Pahal Borra,50,Hapur,Telangana,"26/023, Rajagopalan Ganj, Coimbatore-278649"
USR0193,Amol Srinivasan,35,Ludhiana,Arunachal Pradesh,"70/53, Ratta Circle, Siwan 703616"
USR0194,Sudiksha Randhawa,44,Rampur,Nagaland,"H.No. 112, Dhillon Circle, Arrah-094028"
USR0195,Ekaja Mani,45,Ranchi,Telangana,"51/91, Lalla Ganj, Karimnagar-048700"
USR0196,Jagvi Naidu,59,Karnal,Andhra Pradesh,"504, More Road, Faridabad-007131"
USR0197,Vamakshi Deshmukh,33,Miryalaguda,Rajasthan,"H.No. 92, Murty Nagar, Nagercoil-850314"
USR0198,Manan Radhakrishnan,65,Salem,Chhattisgarh,"54/382, Hora Path, Madhyamgram 331198"
USR0199,Amaira Setty,54,Bhalswa Jahangir Pur,Arunachal Pradesh,"27, Gera Nagar, Mango 200069"
USR0200,Upkaar Bera,30,Yamunanagar,Andhra Pradesh,"95/14, Shetty Path, Shahjahanpur-475494"
